index,lambda_reg,residual_norm,roughness_norm,reference_mse,reference_psnr,reference_ssim,interpretation
0,1.0,4.26181029371584,3.841201552380376,0.004469685829613126,23.497230019822688,0.6038333983567324,smoothest / strongest regularization
2,0.13597985579403557,2.970746023148292,6.237831834792772,0.0033088121072972826,24.803278937893186,0.7035554026284289,intermediate Pareto trade-off
4,0.009806757216915776,2.4796591773946535,10.131591956992887,0.002398903904321634,26.19987148721927,0.7761683133788472,intermediate Pareto trade-off
5,0.0025764217047051156,2.41675386357125,12.901070143438583,0.002268667982209467,26.44229058123486,0.7753876710834214,selected Pareto reconstruction
6,0.0008982347043119016,2.3867846002499418,16.432029421158095,0.0025070059772467302,26.008446305881826,0.743061163251058,intermediate Pareto trade-off
8,0.00020385531258606808,2.3621455648423644,26.668782028148485,0.004261003431143738,23.704881160867583,0.6268858323701764,sharpest / weakest regularization
